date,campaign_id,campaign_name,adset_id,adset_name,ad_id,ad_name,impressions,reach,clicks,spend,cpc,ctr,cpm,frequency,results,result_rate,purchase_value,roas,delta_spend_pct,delta_results_pct,checkout_initiations,checkout_rate,quality_ranking,engagement_ranking,conversion_ranking
2026-03-10,,"[22/12/25] [MDA] [F] [AUTO] [VENDAS] [MIX PÚBLICOS] [VSL C] [R$ 197,00] [4]",,,,,11233,9547,68,184.8,2.7176,0.6054,16.4515,1.18,3.0,0.000267,0.0,0.0,,,,,,,
2026-03-10,,"[21/02/26] [MDA] [F] [AUTO] [VENDAS] [ADV+] [VSL A] [R$ 197,00] [CBO] [AD188] [6]",,,,,100604,76047,616,1857.6,3.0156,0.6123,18.4645,1.32,8.0,8e-05,0.0,0.0,,,,,,,
2026-03-10,,"[24/02/26] [MDA] [F] [AUTO] [VENDAS] [ADV+] [VSL A] [R$ 197,00] [1]",,,,,130879,49966,1192,4496.66,3.7724,0.9108,34.3574,2.62,26.0,0.000199,0.0,0.0,,,,,,,
2026-03-10,,"[08/03/26] [MDA] [F] [AUTO] [VENDAS] [ADV+] [VSL A] [R$ 197,00] [CBO] [BC] [9]",,,,,19,18,0,0.94,0.0,0.0,49.4737,1.06,0.0,0.0,0.0,0.0,,,,,,,
2026-03-10,,"[08/03/26] [MDA] [Q] [AUTO] [VENDAS] [REMARKETING] [VSL C] [R$ 197,00] [CBO] [AD182] [6]",,,,,708,596,7,51.89,7.4129,0.9887,73.291,1.19,0.0,0.0,0.0,0.0,,,,,,,
2026-03-10,,"[10/03/26] [MDA] [F] [AUTO] [VENDAS] [ADV+] [VSL A] [R$ 197,00] [CBO] [AD17] [6]",,,,,46360,32033,479,1765.99,3.6868,1.0332,38.093,1.45,5.0,0.000108,0.0,0.0,,,,,,,
2026-03-10,,"[12/03/26] [MDA] [F] [AUTO] [VENDAS] [ADV+] [VSL A] [R$ 197,00] [CBO] [ESCALA] [6]",,,,,52611,34705,523,1714.51,3.2782,0.9941,32.5884,1.52,11.0,0.000209,0.0,0.0,,,,,,,
2026-03-10,,"[12/03/26] [MDA] [Q] [AUTO] [VENDAS] [REMARKETING] [VSL C] [R$ 197,00] [CBO] [ESCALA] [6]",,,,,46275,25675,332,1126.53,3.3932,0.7175,24.3442,1.8,6.0,0.00013,0.0,0.0,,,,,,,
2026-03-10,,[C04] ZONA DE ESCALA CBO — Cópia — Cópia — Cópia,,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2026-03-10,,[C01] ZONA DE FORMAÇÃO (COMPRA) — Cópia,,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2026-03-10,,[00] ZONA DE ESCALA (ABO),,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2026-03-10,,[00] ZONA DE ESCALA VERTICAL,,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2026-03-10,,"F3 - [V2,V3,V4] 01/10 (ABO) 1-1-3",,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2026-03-10,,F1 - [IMAGE STORIES TEST] 01/10 (ABO) 1-5-1,,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2026-03-10,,F4 - VALIDAÇÃO DO PÚBLICO {PB. 01 OPEN} (CBO) 1-3-3,,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2026-03-10,,F9 - [C04] 03/10 (CBO) 1-1-3,,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2026-03-10,,F9 - [C04] 02/10 (CBO) 1-1-3 — Cópia — Cópia,,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2026-03-10,,F9 - [C04] 02/10 (CBO) 1-1-3 — Cópia — Cópia,,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2026-03-10,,(F3) [V10] ESCALA 1-1-1 |P.01| 05/11 (ABO) = 50/DIA,,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2026-03-10,,F7 - ESCALA VERTICAL CRIATIVO [PB.02]  (INSTAGRAM HOMEM 25-45)  (CBO) 1-5-1,,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2026-03-10,,F7 - 02 ESCALA VERTICAL CRIATIVO (CBO) 1-3-1,,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2026-03-10,,F0 - 04 ESCALA DIÁRIA {PB. 01 OPEN} (CBO) 1-1-1,,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2026-03-10,,F0 - 03 ESCALA DIÁRIA {PB. 01 OPEN} (CBO) 1-1-1,,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2026-03-10,,F0 - 06 ESCALA DIÁRIA 33-44 {PB. 01 OPEN} (CBO) 1-1-1,,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2026-03-10,,F6 - [V04] 01 ESCALA VERTICAL PÚBLICO (CBO) 1-3-1,,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2026-03-10,,F0 -  [V04] (VLS A/B) 1-1-1,,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2026-03-10,,F2 -  [V04] VSL 02 TESTE PÚBLICO  (CBO) 1-3-3 — Cópia — Cópia,,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2026-03-10,,F2 -  [V04] VSL 02 TESTE PÚBLICO  (CBO) 1-3-3 — Cópia — Cópia — Cópia — Cópia — Cópia,,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2026-03-10,,F3 -  [V10] ESCALA 1-1-1 |22-45 INSTA| VSL2 (ABO) = 50/DIA — Cópia — Cópia,,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2026-03-10,,F3 -  [V04] ESCALA 1-1-1 |22-45 INSTA| VSL2 (ABO) = 50/DIA — Cópia,,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2026-03-10,,F3 -  [V38] H 22 - 45 - INSTA (1-1-1),,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2026-03-10,,F3 -  OPEN 22-45 HM - INSTA (1-1-X),,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2026-03-10,,F3 -  [V20] ESCALA 1-1-1 |24-44INSTA| VSL2 ESCALA 1 — Cópia,,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2026-03-10,,F1 - [V16] VSL 1 - TESTE CRIATIVO — Cópia,,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2026-03-10,,F2.02 -  [V04] VSL 02 TESTE PÚBLICO  (CBO) 1-3-3 — Cópia,,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2026-03-10,,F3 -  [V04] ESCALA 1-1-1 |22-45 INSTA| VSL2 (ABO) = — Cópia — Cópia,,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2026-03-10,,F3 -  [V20] ESCALA 1-1-1 |22-45 INSTA| VSL2 (ABO) = — Cópia,,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2026-03-10,,F3 -  [V23] LAL 1%,,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2026-03-10,,F3 -  [V38] - LAL 1% (1-1-1),,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2026-03-10,,F3 -  [V20] H 22 - 45 - INSTA+ FACE (1-1-1),,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2026-03-10,,F3 -  [V29] 25-44 HM - INSTA+FACE (1-1-1),,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2026-03-10,,F3 -  [V29] 25-44 HM - INSTA+FACE (1-1-1) — Cópia,,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2026-03-10,,F3 -  [V29] 25-44 HM - INSTA+FACE (1-1-1) — Cópia,,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2026-03-10,,F3 -  [V29] 25-44 HM - INSTA+FACE (1-1-1) — Cópia,,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2026-03-10,,F1 - CREATIVE TEST (1-1-X),,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2026-03-10,,F2 -  [V20] H 25-44 (1-3-1),,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2026-03-10,,F3 - LAL 2% - 3% (1-1-1),,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2026-03-10,,F3 -  [V20] ESCALA 1-1-1 |22-45 INSTA| VSL2 (ABO) = — Cópia,,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2026-03-10,,F0-  [V35] TESTE DE PUBLICO 1-3-1 (ABO),,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2026-03-10,,F3 -  [V20] ESCALA 1-1-1 |22-45 INSTA ALL|,,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2026-03-10,,F3 -  [V20] ESCALA 1-1-1 |22-45 INSTA ALL| 2,,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2026-03-10,,F3 -  [V20] ESCALA 1-1-1 |22-45 INSTA STOR|,,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2026-03-10,,F2 -  [V35 +V34] TESTE DE PUBLICO 1-2-1 (CBO),,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2026-03-10,,F1 - [VX ] ESTEIRA DE CRIATIVOS (01) 1-X-1 | OPEN | VSL 2 | ABO,,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2026-03-10,,F2 - [V38] TESTE DE PUBLICOS (OPEN) 1-1-1  VSL 2 — Cópia,,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2026-03-10,,FX- 1-1-X [IMAGE] (ADVANCED+) Campanha,,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2026-03-10,,VTEST - TICKET 247 - PITCH10 MIN Campanha,,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2026-03-10,,H3 (SEGMT. 01) | V22,,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2026-03-10,,[C04] ZONA DE ESCALA CBO — Cópia — Cópia — Cópia — Cópia — Cópia,,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2026-03-10,,[00] BIBLIOTECA DE CRIATIVOS,,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2026-03-10,,[F4] 1 (C04) 06/10 CBO 1-1-3= $96,,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2026-03-10,,F1 - [NEW CRIATIVOS ] INSTA 20 - 45 11/10 (ABO) 1-5-1,,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2026-03-10,,F3 -  LAL 1% (1-1-X),,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2026-03-10,,F3 -  [V02 - V09] Advantage+  Campanha,,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2026-03-10,,F3 -  [V30- V39] Advantage+ Campanha,,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2026-03-10,,[F2] - CLONES - V95_T197 >>>,,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2026-03-10,,[F2] - CLONES - V55_T197,,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2026-03-10,,[F2] - CLONES - V49_T197,,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2026-03-10,,[07/08/25] [MDA] [F] [AUTO] [VENDAS] [F1] [1] [ESCALA H] [AD87],,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2026-03-10,,[26/09/25] [MDA] [F] [AUTO] [VENDAS] [F3] [2] [TESTE DE CRIATIVOS] [VSL B],,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2026-03-10,,[06/10/25] [MDA] [Q] [AUTO] [VENDAS] [REMARKETING],,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2026-03-10,,[17/10/25] [MDA] [F] [AUTO] [VENDAS] [MIX PÚBLICOS] [VSL B] [NOVO PIXEL] [4],,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2026-03-10,,[29/10/25] [MDA] [F] [AUTO] [VENDAS] [LKL COMPRADORES] [VSL B] [TESTE DE BOTÃO] [3],,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2026-03-10,,[29/10/25] [MDA] [F] [AUTO] [VENDAS] [LKL COMPRADORES] [VSL B] [TESTE DE TICKET] [3],,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2026-03-10,,"[11/11/25] [MDA] [F] [AUTO] [VENDAS] [LKL COMPRADORES] [VSL C] [R$ 397,00] [1]",,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2026-03-10,,"[11/11/25] [MDA] [F] [AUTO] [VENDAS] [MIX PÚBLICOS] [VSL C] [R$ 397,00] [2]",,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2026-03-10,,"[17/11/25] [MDA] [F] [AUTO] [VENDAS] [ADV+] [VSL C] [R$ 397,00] [1] - PIXEL ERRADO",,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2026-03-10,,"[17/11/25] [MDA] [F] [AUTO] [VENDAS] [ADV+] [VSL A] [R$ 347,00] [1]",,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2026-03-10,,"[20/11/25] [MDA] [F] [AUTO] [VENDAS] [LKL 2% COMPRADORES] [VSL A] [R$ 397,00] [1]",,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2026-03-10,,"[24/11/25] [MDA] [F] [AUTO] [VENDAS] [ADV+] [VSL A] [R$ 247,00] [1]",,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2026-03-10,,"[08/12/25] [MDA] [F] [AUTO] [VENDAS] [ADV+] [VSL C] [PIXEL ANTIGO] [R$ 347,00] [1]",,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2026-03-10,,"[19/12/25] [MDA] [F] [AUTO] [VENDAS] [LKL COMPRADORES] [VSL C] [R$ 197,00] [2]",,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2026-03-10,,"[24/01/25] [MDA] [Q] [AUTO] [VENDAS] [REMARKETING] [VSL A] [R$ 197,00] [5]",,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2026-03-10,,[C03] ZONA DE FORMAÇÃO (COMPRA) — Cópia — Cópia,,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2026-03-10,,[00] ZONA DE ESTABILIDADE - REMARKETING,,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2026-03-10,,F1 - [IMAGE STORIES TEST] 01/10 (ABO) 1-5-1 — Cópia,,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2026-03-10,,[F4] 1 (C04) 06/10 CBO 1-1-3= $96 — Cópia,,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2026-03-10,,F9 - [C04] 02/10 (CBO) 1-1-3 — Cópia — Cópia — Cópia,,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2026-03-10,,F7 - [V09] 10/10 (CBO) 1-1-3 [R$98],,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2026-03-10,,F2 - [V12] VSL TESTE PÚBLICO  (CBO) 1-3-1 — Cópia,,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2026-03-10,,F2 - [V10] VSL 2 - TESTE PUBLICO,,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2026-03-10,,F2 -  [V04] VSL 02 TESTE PÚBLICO  (CBO) 1-3-3 — Cópia — Cópia — Cópia — Cópia,,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2026-03-10,,F3 -  [V14] ESCALA 1-1-1 |22-45 INSTA| VSL2 (ABO) 497,,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2026-03-10,,F3 -  [V10] ESCALA 1-1-1 |22-45 INSTA| VSL2 (ABO) = 50/DIA — Cópia — Cópia,,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2026-03-10,,F3 -  [V17] ESCALA 1-1-1 |22-45 INSTA| VSL2 (ABO) = — Cópia,,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2026-03-10,,F3 -  [V20] LAL 1% (1-1-1),,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2026-03-10,,F3 -  [V37] ESCALA 1-1-1 |22-45 INSTA| VSL2,,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2026-03-10,,F3 -  [V20] ESCALA 1-1-1 |22-45 INSTA| VSL2 (ABO) = — Cópia — Cópia — Cópia,,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2026-03-10,,F3 -  [V34] ESCALA 1-1-1 |22-45 INSTA| VSL2 (ABO) = — Cópia,,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2026-03-10,,F2 - [V22 ] TESTE DE PUBLICOS (01) 1-X-1  VSL 2  ABO,,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2026-03-10,,"[09/12/25] [MDA] [F] [AUTO] [VENDAS] [ADV+] [VSL C] [R$ 347,00] [1]",,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2026-03-10,,"[16/12/25] [LVC] [Q] [AUTO] [VENDAS] [REMARKETING] [VSL B] [R$ 197,00] [1]",,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2026-03-10,,"[06/01/26] [LVC] [F] [AUTO] [VENDAS] [LKL PQ 365D] [VSL B] [R$ 197,00] [5]",,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2026-03-10,,"[31/01/26] [LVC] [F] [AUTO] [VENDAS] [ADV+] [VSL B] [R$ 197,00] [5]",,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2026-03-10,,"[12/02/26] [MDA] [F] [AUTO] [VENDAS] [ADV+] [VSL C] [R$ 197,00] [CBO] [6]",,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2026-03-10,,"[21/02/26] [MDA] [F] [AUTO] [VENDAS] [ADV+] [VSL A] [R$ 197,00] [ABO] [AD188] [6]",,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2026-03-10,,"[03/03/26] [MDA] [F] [AUTO] [VENDAS] [ADV+] [VSL C] [R$ 197,00] [CBO] [AD150] [7]",,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2026-03-10,,"[03/03/26] [MDA] [F] [AUTO] [VENDAS] [ADV+] [VSL C] [R$ 197,00] [ABO] [AD178] [8]",,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2026-03-10,,[C02] ZONA DE FORMAÇÃO (COMPRA) — Cópia,,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2026-03-10,,[C04] ZONA DE ESCALA CBO,,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2026-03-10,,[C04] ZONA DE ESCALA CBO — Cópia,,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2026-03-10,,[C04] ZONA DE ESCALA CBO — Cópia — Cópia,,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2026-03-10,,F9 - [C04] 21/09 (CBO) 1-1-3 — Cópia — Cópia,,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2026-03-10,,[F4] 3 (C04) 06/10 CBO 1-1-3= $96 — Cópia,,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2026-03-10,,F2 - ZONA DE VALIDAÇÃO DE CRIATIVO (ABO) 1-10-3 (FIXA),,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2026-03-10,,F0 - 02 ESCALA DIÁRIA {PB. 01 OPEN} (CBO) 1-1-1 — Cópia,,,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
